"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"61" 70.3650374457191 61.8442681896501 22.6178188377562 140.483589075835 168.236388176624 0.01 0.01 115
"62" 178.56402194788 33.3721410337367 5.36876658194223 174.205024421211 77.281600137322 0.01 0.01 117
"63" 167.180503783368 67.8264790935863 8.73963249653626 149.07676388058 1 0.01 0.01 118
"64" 83.9168469012252 28.8033300510491 28.0132771286197 500 370.91540067892 0.01 0.01 120
"65" 176.423504895988 92.1587096355651 2.03836908590122 105.571924645389 144.098995246805 0.01 0.01 124
"66" 113.751215471953 60.7699908375608 24.5718354404819 69.7373960944051 500 0.01 0.01 128
"67" 71.1205773964796 55.9142973356779 23.0164391729815 205.879385504212 500 0.01 0.01 130
"68" 157.686710715259 100 6.8246372024428 225.502831215615 1 0.01 0.01 131
"69" 45.2318075803166 62.9803637435093 100 500 40.1587143637189 0.01 0.01 201
"70" 192.553172095092 17.6976268617266 1.0492653158003 61.6734155028724 61.825682207002 0.01 0.01 203
"71" 75.7629376903746 100 22.0457137959686 9.42974131336495 483.222466869267 0.01 0.01 207
"72" 85.2930845650447 100 19.5188504984895 273.845660464921 2.17750521672005 0.01 0.01 210
"73" 71.1998027270758 71.2618163505985 28.6571404418691 64.01488684305 500 0.01 0.01 218
"74" 70.6347447599466 90.3003000895416 3.08433608017519 500 391.313824317985 0.01 0.01 219
"75" 170.548280288892 52.6227839110634 2.74408509892008 23.4575563321035 272.828954290788 0.01 0.01 221
"76" 220.691242444242 26.9715388371534 3.3874651157275 41.4214938149548 25.3915863737422 0.01 0.01 223
"77" 74.0637775962309 100 25.8806955167537 353.448193549208 217.970007060325 0.01 0.01 225
"78" 120.05394692727 96.7996803034657 13.1387760294916 56.6513653207216 500 0.01 0.01 226
"79" 59.637036673592 30.4103853275475 61.369070096496 252.882540976729 500 0.01 0.01 229
"80" 82.3340194178271 92.0609960079855 58.5075639069711 500 1 0.01 0.01 232
"81" 49.0090961453159 67.3157297136623 59.8957031858908 500 437.630596251444 0.01 0.01 236
"82" 75.8098671982715 38.1198713293137 15.421084022689 193.844239525422 500 0.01 0.01 237
"83" 67.4621739861383 21.9076821906069 25.9968613450055 500 359.987980587201 0.01 0.01 238
