sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
9,2,2,prac,100,3,100,99,3,6.41298565999978,2.7017559599999004,5.52424155999961,1,1,45,1,1.7,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
9,3,3,prac,20,2,10,3,3,14.3949183600002,4.536996659999659,9.35818705999964,0.125,0.13333333333333333,45,0,2,9 9 9 9 9,1 2 1 2 0,8 7 8 7 9
9,4,4,prac,75,3,75,75,2,16.8294128600005,2.337134760000481,6.39309516000003,0.875,0.8,5,1,1.9,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
9,5,5,prac,60,2,60,76,1,7.84540175999973,3.0019281599998067,6.43122565999965,0.625,0.6,5,0,1.5,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0
9,6,6,prac,40,2,35,25,2,9.72954696000033,2.402127159999509,5.59317525999995,0.375,0.4,5,0,1.6,1 1 1 1 1,0 0 0 1 1,1 1 1 0 0
9,7,7,prac,60,2,70,77,3,10.7459635599998,2.0196642600003543,6.6317122599994,0.625,0.6,5,0,1.9,1 1 1 1 1,0 1 1 1 0,1 0 0 0 1
9,8,8,prac,20,2,20,5,1,8.59630705999962,1.8866823600001226,4.52477696000005,0.125,0.2,5,0,1.7,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0
9,9,9,prac,10,3,10,25,2,7.71310835999975,2.1203649599997334,3.6622549599997,0.875,0.8666666666666667,45,0,1.7,9 9 9 9 9,8 7 7 9 8,1 2 2 0 1
9,10,10,prac,65,2,60,48,2,17.3620255599999,2.6206475599997248,6.1236065600001,0.625,0.6,5,0,1.7,1 1 1 1 1,0 1 1 1 0,1 0 0 0 1
9,11,11,prac,60,2,65,75,1,7.37894686000027,2.4358471600003213,6.62846806000016,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,3 7 9 3 6,6 2 0 6 3
9,12,12,prac,80,2,85,96,2,12.49637566,2.5198654600003465,6.42346906000012,0.875,0.8,5,0,1.6,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0
9,13,13,prac,35,2,40,50,2,5.94680676000007,1.9531287599997995,9.02592066000034,0.375,0.37777777777777777,45,0,2,9 9 9 9 9,2 5 2 5 3,7 4 7 4 6
9,14,14,prac,45,2,45,44,1,9.89635835999979,2.1867982600001596,4.69668256000023,0.5,0.4,5,1,1.9,1 1 1 1 1,1 1 0 0 0,0 0 1 1 1
9,15,15,prac,65,2,60,50,2,10.1115829600003,2.9200189600001067,4.89781015999961,0.625,0.6222222222222222,45,0,1.7,9 9 9 9 9,8 5 7 3 5,1 4 2 6 4
13,1,1,prac,90,3,72,48,1,8.69688131999919,4.984502119999888,9.5637017199997,0.875,0.8,5,1,1.9,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0
13,2,2,prac,72,2,64,54,2,8.21257481999965,3.6032020200009356,10.1963775199993,0.625,0.6222222222222222,45,0,1.8,9 9 9 9 9,6 7 5 5 5,3 2 4 4 4
13,3,3,prac,50,3,50,50,1,8.41284201999952,2.4531464199990296,7.22506101999898,0.5,0.4,5,1,1.9,1 1 1 1 1,0 0 1 1 0,1 1 0 0 1
13,4,4,prac,65,2,55,50,3,6.96218021999903,1.9522105199994257,9.56332901999849,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,5 5 6 6 6,4 4 3 3 3
13,5,5,prac,94,2,87,78,2,7.46205981999992,3.1178782199986017,12.4969912199995,0.875,0.8,5,0,1.9,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0
13,6,6,prac,7,3,14,23,2,5.44666152000082,2.5354335199999696,4.8856508000008,0.125,0.2,5,0,1.5,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1
