sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating
3,62,12,3,47,46,45,2,3.709222649998992,4.99150419999751,0.375,0.37777777777777777,45,1,5.7,9 9 9 9 9,2 4 3 2 6,7 5 6 7 3,0.5,compromise,2.4285714285714284
3,63,13,3,60,68,77,1,3.224060649998137,3.92548349999743,0.625,0.6,5,0,5,1 1 1 1 1,0 0 1 1 1,1 1 0 0 0,0.47058823529411764,compromise,1.25
3,64,14,3,60,70,76,2,2.132515949999288,3.5447824999992,0.625,0.6,5,0,5.6,1 1 1 1 1,0 0 1 1 1,1 1 0 0 0,0.625,compromise,1.25
3,65,15,3,100,100,99,3,1.74668544999804,1.86431399999856,1,1,45,1,5.8,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0,-0,stay,2.4285714285714284
3,66,16,3,80,70,65,3,4.686115749998862,4.13939949999985,0.75,0.8,5,0,5.2,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0,0.6666666666666666,compromise,1.25
3,67,17,3,20,30,35,2,3.0159282499971596,3.11143314999936,0.25,0.2,5,0,5.3,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.6666666666666666,compromise,1.25
3,68,18,3,58,64,75,2,3.8778487500003394,2.14334819999749,0.625,0.6222222222222222,45,0,5.2,9 9 9 9 9,6 4 4 8 6,3 5 5 1 3,0.35294117647058826,compromise,2.4285714285714284
3,69,19,3,16,6,1,3,2.303430549998666,3.41977340000085,0.125,0.13333333333333333,45,0,4.2,9 9 9 9 9,2 2 1 1 0,7 7 8 8 9,0.6666666666666666,compromise,2.4285714285714284
3,70,20,3,3,1,1,3,1.5116613500013045,1.59185719999914,0,0,5,1,5.2,1 1 1 1 1,0 0 0 0 0,1 1 1 1 1,1,copy,1.25
3,71,21,3,40,29,22,1,8.74456905000261,3.30999579999843,0.375,0.4,5,0,4.5,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0,0.6111111111111112,compromise,1.25
3,72,22,3,56,69,72,2,2.7658958500014705,4.13823874999798,0.625,0.6222222222222222,45,0,5.2,9 9 9 9 9,3 5 7 7 6,6 4 2 2 3,0.8125,compromise,2.4285714285714284
3,73,23,3,80,73,65,1,3.999277249999068,3.0463751999996,0.75,0.8,5,0,4.3,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0,0.4666666666666667,compromise,1.25
3,74,24,3,60,53,45,2,9.314742450002086,4.30395049999788,0.375,0.37777777777777777,45,0,5.8,9 9 9 9 9,4 4 3 4 2,5 5 6 5 7,0.4666666666666667,compromise,2.4285714285714284
3,75,25,3,75,52,25,2,4.375782049997724,5.90360369999871,0.75,0.7555555555555555,45,1,4.7,9 9 9 9 9,5 6 9 7 7,4 3 0 2 2,0.46,compromise,2.4285714285714284
6,1,1,1,20,22,35,3,10.350496589999238,6.52135318999717,0.25,0.24444444444444444,45,0,4.5,9 9 9 9 9,1 4 3 2 1,8 5 6 7 8,0.13333333333333333,compromise,2.4285714285714284
6,2,2,1,14,14,31,2,7.150399489997653,4.16816375000417,0.25,0.24444444444444444,45,0,5.6,9 9 9 9 9,2 3 3 1 2,7 6 6 8 7,0,stay,2.4285714285714284
6,3,3,1,10,15,25,3,5.920350790001976,6.34860141999525,0.125,0.2,5,0,4.9,1 1 1 1 1,0 0 0 0 1,1 1 1 1 0,0.3333333333333333,compromise,1
