sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating,alpha_5,alpha_45,theta_IC,theta_slope,staybias,perceived_blue,perceived_red,other_blue,other_red,stayBias_modulated,KLd
54,8,8,1,13,13,31,1,6.440806230000817,2.920400310000332,0.125,0.13333333333333333,45,0,4,9 9 9 9 9,2 2 1 1 0,7 7 8 8 9,0,stay,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,18.646552610032582,124.78846746714112,17.571892621507416,39.111631964000374,0.235613503548916,1.335089778743492
54,9,9,1,80,70,63,2,3.840813129998424,4.326628839999103,0.75,0.8,5,0,5.9,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0,0.5882352941176471,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,52.0725081020712,13.018127025517796,70.32260005033706,41.300574632737636,0.05551372305459505,1.9847092461825413
54,10,10,1,20,13,5,1,5.599244830000316,10.383854239997163,0.125,0.2,5,0,4.3,1 1 1 1 1,1 0 0 0 0,0 1 1 1 1,0.4666666666666667,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,13.0181270255178,52.0725081020712,2.83417622927539,53.849348356232404,0.235613503548916,1.3614070870135888
54,11,11,1,82,74,65,3,13.354878829997688,9.646126040001036,0.75,0.7555555555555555,45,0,5,9 9 9 9 9,8 8 6 5 7,1 1 3 4 2,0.4705882352941176,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,117.61671646328243,25.81830361389127,108.26583610741704,58.296988673224554,0.013079782783937371,3.313009259273396
54,12,12,1,0,1,1,3,3.899143529997673,2.8628202399995644,0,0,5,1,4.8,1 1 1 1 1,0 0 0 0 0,1 1 1 1 1,1,copy,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,0,65.090635127589,1.665628247806416,164.89719653283518,0.013079782783937371,0.861615851312186
54,13,13,1,40,41,41,2,5.070191729999351,2.430750240000634,0.375,0.4,5,1,4.3,1 1 1 1 1,0 0 1 0 1,1 1 0 1 0,1,copy,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,26.0362540510356,39.0543810765534,45.76550162006062,65.85767306301408,0.05551372305459505,0.1828795309283795
54,14,14,1,44,40,27,1,5.8861931299998105,4.846900339996864,0.375,0.37777777777777777,45,0,4.9,9 9 9 9 9,1 4 3 6 3,8 5 6 3 6,0.2352941176470588,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,63.11140883395643,80.32361124321729,15.304551638087107,41.37897294742069,0.235613503548916,0.714432201789205
54,15,15,1,80,66,65,3,3.740749930000675,8.017158139999083,0.75,0.8,5,0,5.4,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1,0.9333333333333332,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,52.0725081020712,13.018127025517796,108.26583610741704,58.296988673224554,0.013079782783937371,2.081798131551952
54,16,16,1,17,10,1,2,24.007748929998343,2.3658565400019143,0.125,0.13333333333333333,45,0,4.2,9 9 9 9 9,3 0 0 2 1,6 9 9 7 8,0.4375,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,24.38395341311953,119.05106666405418,1.116231746830747,110.50694293624395,0.05551372305459505,3.4194156159755416
54,17,17,1,28,35,44,3,13.815987829999358,5.4782595399974525,0.375,0.37777777777777777,45,0,4.1,9 9 9 9 9,4 1 5 5 2,5 8 4 4 7,0.4375,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,40.16180562160864,103.27321445556507,73.28764290348231,93.2751818771593,0.013079782783937371,2.44606909366073
54,18,18,1,35,46,50,3,3.473897030000444,3.435404539997762,0.625,0.6222222222222222,45,0,5.8,9 9 9 9 9,6 4 4 8 6,3 5 5 1 3,0.7333333333333333,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,50.202257027010795,93.23276305016292,83.2814123903208,83.2814123903208,0.013079782783937371,2.027054797275058
54,19,19,1,33,0,50,2,6.652888630000234,[],0.375,0.37777777777777777,45,0,5.4,9 9 9 9 9,2 7 2 3 3,7 2 7 6 6,-1.9411764705882355,stay,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,47.33355662546733,96.10146345170638,55.81158734153735,55.81158734153735,0.05551372305459505,1.7303977017437584
54,20,20,1,20,5,3,3,4.774228030000813,7.1763172400005715,0.125,0.2,5,0,5.8,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0.8823529411764706,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,13.0181270255178,52.0725081020712,4.996884743419248,161.56594003722233,0.013079782783937371,5.360051140197031
54,21,21,1,100,98,98,3,3.266940830000749,3.397276140000031,1,1,5,1,5.3,1 1 1 1 1,1 1 1 1 1,0 0 0 0 0,1,copy,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,65.090635127589,0,163.23156828502874,3.331256495612835,0.013079782783937371,0.758721627713144
54,22,22,1,80,73,65,1,2.7883124299987685,15.580473839996557,0.75,0.8,5,0,5.2,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0,0.4666666666666667,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,52.0725081020712,13.018127025517796,36.84429098058007,19.839233604927728,0.235613503548916,0.87627439716022
54,23,23,1,17,17,35,2,9.874110929999006,3.9129272399986803,0.25,0.24444444444444444,45,0,5.1,9 9 9 9 9,2 4 5 0 0,7 5 4 9 9,0,stay,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,24.38395341311953,119.05106666405418,39.06811113907614,72.55506354399856,0.05551372305459505,2.5756024287550616
54,24,24,1,20,35,37,3,3.965844230000585,4.033180839998749,0.25,0.2,5,0,4.3,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0.8823529411764706,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,13.0181270255178,52.0725081020712,61.62824516883739,104.93457961180421,0.013079782783937371,2.5691202376240887
